split,dataset_index,cube,season,suffix_horizon,geo_group,n_valid,c1_A_B_output_mae,fsr_A_B_output_mae,delta_fsr_minus_c1
iid,1015,minicube_15_29TPH_42.42_-7.23,MAM18,7,29TPH,15591,0.006146643776446581,0.004182950593531132,-0.0019636931829154491
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,1,33TYM,16251,0.006262596696615219,0.003319193609058857,-0.0029434030875563622
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,10,33TYM,16251,0.0046008070930838585,0.012483430095016956,0.0078826230019330978
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,2,33TYM,16253,0.005705532152205706,0.005286269821226597,-0.00041926233097910881
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,3,33TYM,16254,0.004845052026212215,0.007399949245154858,0.0025548972189426422
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,5,33TYM,14048,0.004720658529549837,0.010695051401853561,0.0059743928723037243
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,6,33TYM,1455,0.005849898327142,0.010142914950847626,0.0042930166237056255
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,7,33TYM,12947,0.005533149000257254,0.008432102389633656,0.0028989533893764019
iid,1016,minicube_160_33TYM_46.19_17.62,MAM18,8,33TYM,12813,0.005618146620690823,0.008938882499933243,0.0033207358792424202
iid,1017,minicube_161_33TYN_47.69_18.48,MAM18,1,33TYN,16331,0.005570470355451107,0.003206200199201703,-0.002364270156249404
iid,1017,minicube_161_33TYN_47.69_18.48,MAM18,10,33TYN,3694,0.004613152239471674,0.011243879795074463,0.0066307275556027889
iid,1017,minicube_161_33TYN_47.69_18.48,MAM18,2,33TYN,4579,0.004746280610561371,0.005481969565153122,0.0007356889545917511
iid,1017,minicube_161_33TYN_47.69_18.48,MAM18,4,33TYN,16331,0.004308698698878288,0.008793184533715248,0.0044844858348369598
iid,1017,minicube_161_33TYN_47.69_18.48,MAM18,5,33TYN,16331,0.0038036659825593233,0.01024235226213932,0.0064386862795799971
iid,1017,minicube_161_33TYN_47.69_18.48,MAM18,7,33TYN,4052,0.004793926142156124,0.008653872646391392,0.0038599465042352676
iid,1018,minicube_162_33TYN_46.95_18.60,MAM18,1,33TYN,16182,0.004407936241477728,0.004470976069569588,6.3039828091859818e-05
iid,1018,minicube_162_33TYN_46.95_18.60,MAM18,10,33TYN,14648,0.006577515974640846,0.01522514596581459,0.0086476299911737442
iid,1018,minicube_162_33TYN_46.95_18.60,MAM18,2,33TYN,13338,0.004317276179790497,0.006299499422311783,0.001982223242521286
iid,1018,minicube_162_33TYN_46.95_18.60,MAM18,3,33TYN,113,0.002327486639842391,0.012406839989125729,0.010079353349283338
iid,1018,minicube_162_33TYN_46.95_18.60,MAM18,5,33TYN,16125,0.005148064810782671,0.012408913113176823,0.0072608483023941517
iid,1018,minicube_162_33TYN_46.95_18.60,MAM18,6,33TYN,3455,0.004621404223144054,0.011488378047943115,0.0068669738247990608
iid,1018,minicube_162_33TYN_46.95_18.60,MAM18,7,33TYN,14623,0.004736076109111309,0.011131960898637772,0.0063958847895264626
iid,1019,minicube_163_33TYN_47.01_18.77,MAM18,1,33TYN,16371,0.00686374306678772,0.0035549714230000973,-0.0033087716437876225
iid,1019,minicube_163_33TYN_47.01_18.77,MAM18,10,33TYN,13504,0.0045272535644471645,0.015355595387518406,0.010828341823071241
iid,1019,minicube_163_33TYN_47.01_18.77,MAM18,2,33TYN,14877,0.005513930227607489,0.005846993066370487,0.00033306283876299858
iid,1019,minicube_163_33TYN_47.01_18.77,MAM18,5,33TYN,13077,0.003826551605015993,0.012417077086865902,0.0085905254818499088
iid,1019,minicube_163_33TYN_47.01_18.77,MAM18,6,33TYN,683,0.005870875436812639,0.010469050146639347,0.0045981747098267078
iid,1019,minicube_163_33TYN_47.01_18.77,MAM18,7,33TYN,1534,0.0035680667497217655,0.010570844635367393,0.007002777885645628
iid,102,minicube_196_33VXH_60.40_16.91,JAS17,10,33VXH,3798,0.0037179107312113047,0.0018934811232611537,-0.001824429607950151
iid,102,minicube_196_33VXH_60.40_16.91,JAS17,6,33VXH,1,0.0001310110092163086,0.0036893486976623535,0.0035583376884460449
iid,1020,minicube_164_33UVR_50.25_14.71,MAM18,1,33UVR,15880,0.006074562203139067,0.007339746691286564,0.0012651844881474972
iid,1020,minicube_164_33UVR_50.25_14.71,MAM18,10,33UVR,1562,0.007922329939901829,0.015739543363451958,0.0078172134235501289
iid,1020,minicube_164_33UVR_50.25_14.71,MAM18,2,33UVR,10519,0.005487976595759392,0.007639061659574509,0.0021510850638151169
iid,1020,minicube_164_33UVR_50.25_14.71,MAM18,4,33UVR,15880,0.00655833026394248,0.010017056949436665,0.0034587266854941845
iid,1020,minicube_164_33UVR_50.25_14.71,MAM18,7,33UVR,15880,0.005720109678804874,0.010373689234256744,0.00465357955545187
iid,1020,minicube_164_33UVR_50.25_14.71,MAM18,8,33UVR,15142,0.006151823326945305,0.011812875978648663,0.0056610526517033577
iid,1021,minicube_165_33UVR_50.02_13.78,MAM18,10,33UVR,677,0.0025956891477108,0.012629148550331593,0.010033459402620792
iid,1021,minicube_165_33UVR_50.02_13.78,MAM18,2,33UVR,4014,0.0020635947585105896,0.009779981337487698,0.007716386578977108
iid,1021,minicube_165_33UVR_50.02_13.78,MAM18,4,33UVR,1180,0.002350610913708806,0.012003747746348381,0.009653136832639575
iid,1021,minicube_165_33UVR_50.02_13.78,MAM18,5,33UVR,8747,0.0027241006027907133,0.014002584852278233,0.011278484249487519
iid,1021,minicube_165_33UVR_50.02_13.78,MAM18,6,33UVR,3657,0.002359758596867323,0.012808877043426037,0.010449118446558714
iid,1021,minicube_165_33UVR_50.02_13.78,MAM18,8,33UVR,11162,0.0025200776290148497,0.011599966324865818,0.0090798886958509684
iid,1021,minicube_165_33UVR_50.02_13.78,MAM18,9,33UVR,8538,0.0026150981429964304,0.011955511756241322,0.0093404136132448912
iid,1022,minicube_166_33UVR_50.05_14.92,MAM18,1,33UVR,16278,0.008931387215852737,0.009544303640723228,0.00061291642487049103
iid,1022,minicube_166_33UVR_50.05_14.92,MAM18,10,33UVR,773,0.007531848270446062,0.018351221457123756,0.010819373186677694
iid,1022,minicube_166_33UVR_50.05_14.92,MAM18,2,33UVR,11425,0.008316617459058762,0.009857016615569592,0.0015403991565108299
iid,1022,minicube_166_33UVR_50.05_14.92,MAM18,4,33UVR,16278,0.00917600654065609,0.012449260801076889,0.0032732542604207993
iid,1022,minicube_166_33UVR_50.05_14.92,MAM18,5,33UVR,1730,0.008729235269129276,0.012210216373205185,0.0034809811040759087
iid,1022,minicube_166_33UVR_50.05_14.92,MAM18,7,33UVR,16278,0.007894708774983883,0.012234944850206375,0.0043402360752224922
iid,1022,minicube_166_33UVR_50.05_14.92,MAM18,8,33UVR,15893,0.008011102676391602,0.013596948236227036,0.005585845559835434
iid,1023,minicube_167_33UWT_51.42_16.40,MAM18,1,33UWT,15807,0.007471842225641012,0.0069102877750992775,-0.0005615544505417347
iid,1023,minicube_167_33UWT_51.42_16.40,MAM18,10,33UWT,4025,0.007343586999922991,0.012967337854206562,0.0056237508542835712
iid,1023,minicube_167_33UWT_51.42_16.40,MAM18,4,33UWT,15943,0.006781985051929951,0.007880561985075474,0.0010985769331455231
iid,1023,minicube_167_33UWT_51.42_16.40,MAM18,6,33UWT,179,0.006116495467722416,0.0070013366639614105,0.0008848411962389946
iid,1023,minicube_167_33UWT_51.42_16.40,MAM18,7,33UWT,3119,0.005973580293357372,0.007932324893772602,0.0019587446004152298
iid,1023,minicube_167_33UWT_51.42_16.40,MAM18,8,33UWT,15043,0.00590639328584075,0.008176757022738457,0.002270363736897707
iid,1023,minicube_167_33UWT_51.42_16.40,MAM18,9,33UWT,15944,0.006763172335922718,0.010391968302428722,0.0036287959665060043
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,1,33UWT,1,0.007917642593383789,0.006225228309631348,-0.0016924142837524414
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,10,33UWT,972,0.0038578070234507322,0.007803497835993767,0.0039456908125430346
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,2,33UWT,15450,0.004568058997392654,0.004531954415142536,-3.6104582250118256e-05
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,3,33UWT,2526,0.004323751665651798,0.004574377555400133,0.00025062588974833488
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,4,33UWT,15715,0.004374365322291851,0.004856666550040245,0.00048230122774839401
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,6,33UWT,3886,0.003443831577897072,0.004317690618336201,0.00087385904043912888
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,7,33UWT,13698,0.0037010572850704193,0.004774310160428286,0.0010732528753578663
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,8,33UWT,15716,0.003297413233667612,0.004927731119096279,0.0016303178854286671
iid,1024,minicube_168_33UWT_51.61_15.92,MAM18,9,33UWT,15629,0.0035335710272192955,0.006351810414344072,0.0028182393871247768
iid,1025,minicube_169_33UWT_51.93_15.97,MAM18,1,33UWT,2466,0.0029924800619482994,0.003678592387586832,0.00068611232563853264
iid,1025,minicube_169_33UWT_51.93_15.97,MAM18,10,33UWT,24,0.001723510562442243,0.0042986152693629265,0.0025751047069206834
iid,1025,minicube_169_33UWT_51.93_15.97,MAM18,2,33UWT,12601,0.0025851575192064047,0.0033645459916442633,0.00077938847243785858
iid,1025,minicube_169_33UWT_51.93_15.97,MAM18,4,33UWT,16244,0.002528731245547533,0.003883233293890953,0.00135450204834342
iid,1025,minicube_169_33UWT_51.93_15.97,MAM18,7,33UWT,15380,0.002907722955569625,0.004442757461220026,0.0015350345056504011
iid,1025,minicube_169_33UWT_51.93_15.97,MAM18,8,33UWT,16244,0.0028878466691821814,0.004701064433902502,0.0018132177647203207
iid,1025,minicube_169_33UWT_51.93_15.97,MAM18,9,33UWT,13378,0.002680236706510186,0.00638325372710824,0.0037030170205980539
iid,1026,minicube_16_29TPH_42.86_-7.62,MAM18,1,29TPH,16282,0.008728031069040298,0.006700966972857714,-0.0020270640961825848
